TABLE=Variable
Numero;Parent;Nom;Description;Notes;Type;Groupe;ArchiveEv;ArchiveVal;Etats;ConsignesSpe;ConsignesGen;Exclusion;Alarme;Acquit;RazOnAcquit;Rapport;Gravite;TempoAlarme;Synoptique;Son;ArchNumDelai;ArchNumEcartMin;ArchNumEcartMax;GraphMin;GraphMax;GraphGrad;SeuilMin;SeuilMax;SeuilMinMin;SeuilMaxMax;GraviteMM;Camera;Io;Categories;Position2;Symbole;Icone;NonVisu;Extension
2633;0;A;@Variables isoview;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2688;2768;PH.PH1;Accés 24h/24h 7j/7j;(Null);6;0;True;True;0:Interdit\n1:Autorisé;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<PHoraire xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <Numero>0</Numero>\n  <Type>HebdomadaireAvecJF</Type>\n  <Tranches>\n    <anyType xsi:type=""Tranche"">\n      <Minute>0</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1439</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1440</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>2880</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>4320</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>5760</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>7200</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>8640</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>10080</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n  </Tranches>\n  <TranchesJF>\n    <anyType xsi:type=""Tranche"">\n      <Minute>0</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1440</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n  </TranchesJF>\n  <DatesValeur />\n</PHoraire>"
2703;2768;PH.PH2;Horaires nettoyage;(Null);6;0;True;True;0:Interdit\n1:Autorisé;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<PHoraire xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <Numero>0</Numero>\n  <Type>HebdomadaireAvecJF</Type>\n  <Tranches>\n    <anyType xsi:type=""Tranche"">\n      <Minute>0</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1830</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>2040</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>2460</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>2700</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>3270</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>3480</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>3900</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>4140</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>4710</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>4920</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>5340</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>5580</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>6150</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>6360</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>6780</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>7020</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>7590</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>7800</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>8010</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>8460</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>9030</Minute>\n      <Valeur>1</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>9390</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n  </Tranches>\n  <TranchesJF>\n    <anyType xsi:type=""Tranche"">\n      <Minute>0</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n    <anyType xsi:type=""Tranche"">\n      <Minute>1440</Minute>\n      <Valeur>0</Valeur>\n    </anyType>\n  </TranchesJF>\n  <DatesValeur />\n</PHoraire>"
2704;2633;A.E001;A ILS Local Info Entrée 1 B1;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2705;2704;A.E001.Cmd;(Null);(Null);4;3;True;True;1:Repos permanent\n2:Retour en mode auto\n4:Repos anticipé\n7:Acquittement\n9:Validation anticipée\n10:Validation permanente\n;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2706;2704;A.E001.Eject;(Null);(Null);1;3;True;True;0:Ré insertion\n1:Ejection;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2707;2704;A.E001.Etat;(Null);(Null);4;4;True;True;0:Alarme\n1:Inhibition permanente\n2:Validation par programme\n3:Inhibition par programme\n4:Inhibition anticipée\n5:Inhibition par éjection\n6:Inhibition conditionnée\n7:Acquittement\n8:Repos par zone\n9:Validation anticipée\n10:Validation permanente\n12;(Null);(Null);True;True;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2708;2633;A.E002;A BP Local Info Entrée 2 B1;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2709;2633;A.E003;A BBG Local Info Entrée 3 B1;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2710;2633;A.E004;A BP Porte Parking Promenade;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2711;2633;A.E005;A BP Porte Automatique Promenade;(Null);0;0;True;True;0:Arrêt\n1:Marche;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2712;2708;A.E002.Cmd;(Null);(Null);4;3;True;True;1:Repos permanent\n2:Retour en mode auto\n4:Repos anticipé\n7:Acquittement\n9:Validation anticipée\n10:Validation permanente\n;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2713;2708;A.E002.Eject;(Null);(Null);1;3;True;True;0:Ré insertion\n1:Ejection;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2714;2708;A.E002.Etat;(Null);(Null);4;4;True;True;0:Alarme\n1:Inhibition permanente\n2:Validation par programme\n3:Inhibition par programme\n4:Inhibition anticipée\n5:Inhibition par éjection\n6:Inhibition conditionnée\n7:Acquittement\n8:Repos par zone\n9:Validation anticipée\n10:Validation permanente\n12;(Null);(Null);True;True;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2715;2709;A.E003.Cmd;(Null);(Null);4;3;True;True;1:Repos permanent\n2:Retour en mode auto\n4:Repos anticipé\n7:Acquittement\n9:Validation anticipée\n10:Validation permanente\n;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2716;2709;A.E003.Eject;(Null);(Null);1;3;True;True;0:Ré insertion\n1:Ejection;(Null);(Null);True;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2717;2709;A.E003.Etat;(Null);(Null);4;4;True;True;0:Alarme\n1:Inhibition permanente\n2:Validation par programme\n3:Inhibition par programme\n4:Inhibition anticipée\n5:Inhibition par éjection\n6:Inhibition conditionnée\n7:Acquittement\n8:Repos par zone\n9:Validation anticipée\n10:Validation permanente\n12;(Null);(Null);True;True;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2718;2710;A.E004.Cmd;(Null);(Null);4;3;True;True;1:Repos permanent\n2:Retour en mode auto\n4:Repos anticipé\n7:Acquittement\n9:Validation anticipée\n10:Validation permanente\n;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2719;2710;A.E004.Eject;(Null);(Null);1;3;True;True;0:Ré insertion\n1:Ejection;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2720;2710;A.E004.Etat;(Null);(Null);4;4;True;True;0:Alarme\n1:Inhibition permanente\n2:Validation par programme\n3:Inhibition par programme\n4:Inhibition anticipée\n5:Inhibition par éjection\n6:Inhibition conditionnée\n7:Acquittement\n8:Repos par zone\n9:Validation anticipée\n10:Validation permanente\n12;(Null);(Null);False;True;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2721;2711;A.E005.Cmd;(Null);(Null);4;3;True;True;1:Repos permanent\n2:Retour en mode auto\n4:Repos anticipé\n7:Acquittement\n9:Validation anticipée\n10:Validation permanente\n;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
2722;2711;A.E005.Eject;(Null);(Null);1;3;True;True;0:Ré insertion\n1:Ejection;(Null);(Null);False;False;False;False;False;50;0;(Null);(Null);(Null);(Null);(Null);0;100;20;0;0;0;0;0;0;(Null);(Null);(Null);(Null);(Null);False;"<?xml version=""1.0"" encoding=""utf-16""?>\n<VariableExtension xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"">\n  <PHoraireArchivageAutorise>-1</PHoraireArchivageAutorise>\n</VariableExtension>"
